area_id,ref_year,sexid,agegrpstart,nmx,nqx,ndx,npx,lx,nlx,tx,ex
AC,2010,total,35,0.00303,0.015021711,1400.177446,0.984978289,93210.25052,462550.809,3799817.15,40.76608666
AC,2010,total,40,0.00408,0.020187913,1853.453785,0.979812087,91810.07307,454416.7309,3337266.341,36.34967525
AC,2010,total,45,0.00579,0.028529131,2566.384169,0.971470869,89956.61928,443367.136,2882849.61,32.0471093
AC,2010,total,50,0.00799,0.039151439,3421.453428,0.960848561,87390.23512,428397.542,2439482.474,27.91481761
AC,2010,total,55,0.0128,0.062030071,5208.589501,0.937969929,83968.78169,406822.4347,2011084.932,23.95038837
AC,2010,total,60,0.01818,0.086936207,6847.112381,0.913063793,78760.19219,376683.18,1604262.497,20.36895102
AC,2010,total,65,0.0215,0.102021101,7336.651592,0.897978899,71913.07981,341223.7701,1227579.317,17.07032046
AC,2010,total,70,0.03388,0.156151023,10083.67533,0.843848977,64576.42821,297672.9527,886355.5473,13.72568245
AC,2010,total,75,0.05513,0.242251332,13200.94196,0.757748668,54492.75288,239461.4095,588682.5946,10.80295201
AC,2010,total,80,0.08113,0.337243934,13925.41275,0.662756066,41291.81092,171645.5228,349221.185,8.457395722
AC,2010,total,85,0.13423,0.502515059,13752.02719,0.497484941,27366.39818,102451.9229,177575.6623,6.488821113
AC,2010,total,90,0.18123,1,13614.37099,0,13614.37099,75123.73937,75123.73937,5.517973577
AC,2020,female,0,0.01364,0.013475406,1347.540561,0.986524594,100000,98774.31243,7860362.794,78.60362794
AC,2020,female,1,0.00054,0.002151483,212.2491168,0.997848517,98652.45944,394079.6612,7761588.481,78.67607686
AC,2020,female,5,0.00019,0.000971027,95.58805649,0.999028973,98440.21032,491962.0815,7367508.82,74.84247337
AC,2020,female,10,0.00036,0.001817942,178.7847779,0.998182058,98344.62227,491276.1494,6875546.739,69.91278811
AC,2020,female,15,0.00059,0.002939474,288.555937,0.997060526,98165.83749,490107.7976,6384270.589,65.03556382
AC,2020,female,20,0.0008,0.004011542,392.6388631,0.995988458,97877.28155,488404.8106,5894162.792,60.21992742
AC,2020,female,25,0.0008,0.004007214,390.6418036,0.995992786,97484.64269,486446.6089,5405757.981,55.45240596
AC,2020,female,30,0.00108,0.005367163,521.1193064,0.994632837,97094.00088,484167.2062,4919311.372,50.66545129
AC,2020,female,35,0.00126,0.006285799,607.0376814,0.993714201,96572.88158,481346.8137,4435144.166,45.92535807
