area_id,ref_year,period,midperiod,sexid,sex,agegrp,agegrpstart,agegrpspan,nmx,nqx,npx,lx,ndx,nlx,nsx,tx,ex,nax,area_name,area_iso3
76,2020,2020-2025,2023,2,Female,75-79,75,5,0.03471141,0.16033401,0.83966599,71961,11538,332394,0.80138472,960363,13.346,2.624069,Brazil,BRA
76,2020,2020-2025,2023,2,Female,80-84,80,5,0.05532887,0.24391564,0.75608436,60423,14738,266375,0.70505317,627969,10.393,2.574857,Brazil,BRA
76,2020,2020-2025,2023,2,Female,85-89,85,5,0.08645912,0.35542688,0.64457312,45685,16238,187809,0.58604603,361594,7.915,2.498569,Brazil,BRA
76,2020,2020-2025,2023,2,Female,90-94,90,5,0.13045372,0.4875908,0.5124092,29447,14358,110065,0.43650272,173785,5.902,2.411053,Brazil,BRA
76,2020,2020-2025,2023,2,Female,95-99,95,5,0.20794305,0.66208456,0.33791544,15089,9990,48043,0.24603358,63721,4.223,2.257104,Brazil,BRA
76,2020,2020-2025,2023,2,Female,95+,95,-1,0.236801632,1,0,15089,15089,63720,0,63721,4.223,4.223,Brazil,BRA
76,2020,2020-2025,2023,2,Female,100+,100,-1,0.32523449,1,0,5099,5099,15677,0,15677,3.075,3.074705,Brazil,BRA
76,2020,2020-2025,2023,3,Total,0-4,0,5,0.002624991,0.01297,0.98703,100000,1297,494097,0.988194,7656767,76.568,0.448727833,Brazil,BRA
76,2020,2020-2025,2023,3,Total,5-9,5,5,0.00019887,0.00099386,0.99900614,98703,98,493270,0.99889992,7162670,72.568,2.5,Brazil,BRA
76,2020,2020-2025,2023,3,Total,10-14,10,5,0.00027864,0.00139236,0.99860764,98605,137,492727,0.99708967,6669400,67.638,2.833904,Brazil,BRA
76,2020,2020-2025,2023,3,Total,15-19,15,5,0.00099047,0.00494186,0.99505814,98468,487,491293,0.99349768,6176673,62.728,2.852663,Brazil,BRA
76,2020,2020-2025,2023,3,Total,20-24,20,5,0.00152937,0.00761865,0.99238135,97981,746,488098,0.99241912,5685380,58.025,2.580114,Brazil,BRA
76,2020,2020-2025,2023,3,Total,25-29,25,5,0.00147738,0.00735995,0.99264005,97234,716,484398,0.99215198,5197282,53.451,2.520821,Brazil,BRA
76,2020,2020-2025,2023,3,Total,30-34,30,5,0.00171527,0.00854085,0.99145915,96519,824,480597,0.99040923,4712884,48.829,2.576806,Brazil,BRA
76,2020,2020-2025,2023,3,Total,35-39,35,5,0.00217296,0.01080838,0.98919162,95694,1034,475987,0.98778992,4232287,44.227,2.597323,Brazil,BRA
76,2020,2020-2025,2023,3,Total,40-44,40,5,0.00279674,0.01389134,0.98610866,94660,1315,470175,0.98330559,3756300,39.682,2.62317,Brazil,BRA
76,2020,2020-2025,2023,3,Total,45-49,45,5,0.00403608,0.01999015,0.98000985,93345,1866,462326,0.97604357,3286125,35.204,2.642025,Brazil,BRA
76,2020,2020-2025,2023,3,Total,50-54,50,5,0.00575766,0.02840151,0.97159849,91479,2598,451250,0.96623113,2823799,30.868,2.634582,Brazil,BRA
76,2020,2020-2025,2023,3,Total,55-59,55,5,0.00815675,0.04001348,0.95998653,88881,3556,436012,0.95105453,2372548,26.694,2.640005,Brazil,BRA
76,2020,2020-2025,2023,3,Total,60-64,60,5,0.01223284,0.05945067,0.94054933,85325,5073,414671,0.92716194,1936536,22.696,2.643854,Brazil,BRA
76,2020,2020-2025,2023,3,Total,65-69,65,5,0.01838755,0.08809018,0.91190982,80252,7069,384468,0.89467826,1521865,18.964,2.624609,Brazil,BRA
76,2020,2020-2025,2023,3,Total,70-74,70,5,0.02673898,0.12567923,0.87432077,73183,9198,343975,0.84538345,1137397,15.542,2.614759,Brazil,BRA
76,2020,2020-2025,2023,3,Total,75-79,75,5,0.04167527,0.18940002,0.81059998,63985,12119,290791,0.77016864,793422,12.4,2.595892,Brazil,BRA
76,2020,2020-2025,2023,3,Total,80-84,80,5,0.06427406,0.27753424,0.72246576,51866,14395,223958,0.67138038,502632,9.691,2.54258,Brazil,BRA
76,2020,2020-2025,2023,3,Total,85-89,85,5,0.0972256,0.39013312,0.60986688,37472,14619,150361,0.55346758,278674,7.437,2.469219,Brazil,BRA
76,2020,2020-2025,2023,3,Total,90-94,90,5,0.14221134,0.51787334,0.48212666,22853,11835,83220,0.41310748,128313,5.615,2.376918,Brazil,BRA
76,2020,2020-2025,2023,3,Total,95-99,95,5,0.21726539,0.67792522,0.32207478,11018,7469,34379,0.23760706,45093,4.093,2.227221,Brazil,BRA
76,2020,2020-2025,2023,3,Total,95+,95,-1,0.244339476,1,0,11018,11018,45093,0,45093,4.093,4.093,Brazil,BRA
76,2020,2020-2025,2023,3,Total,100+,100,-1,0.33119595,1,0,3549,3549,10714,0,10714,3.019,3.019361,Brazil,BRA
