area_id,ref_year,period,midperiod,sexid,sex,agegrp,agegrpstart,agegrpspan,nmx,nqx,npx,lx,ndx,nlx,nsx,tx,ex,nax,area_name,area_iso3
76,2020,2020-2025,2023,1,Male,0-4,0,5,0.002860697,0.01412,0.98588,100000,1412,493586,0.987172,7301200,73.012,0.457507082,Brazil,BRA
76,2020,2020-2025,2023,1,Male,5-9,5,5,0.00024564,0.00122746,0.99877254,98588,121,492639,0.99860416,6807614,69.051,2.5,Brazil,BRA
76,2020,2020-2025,2023,1,Male,10-14,10,5,0.00031313,0.00156443,0.99843557,98467,154,491951,0.99602319,6314975,64.133,2.5,Brazil,BRA
76,2020,2020-2025,2023,1,Male,15-19,15,5,0.00154852,0.00771787,0.99228213,98313,759,489995,0.98948989,5823024,59.229,2.929167,Brazil,BRA
76,2020,2020-2025,2023,1,Male,20-24,20,5,0.00249515,0.0124009,0.9875991,97554,1210,484845,0.98779913,5333029,54.667,2.580235,Brazil,BRA
76,2020,2020-2025,2023,1,Male,25-29,25,5,0.00233353,0.01159998,0.98840002,96345,1118,478930,0.98799765,4848184,50.321,2.499942,Brazil,BRA
76,2020,2020-2025,2023,1,Male,30-34,30,5,0.00255335,0.01268754,0.98731246,95227,1208,473181,0.98604698,4369255,45.882,2.554743,Brazil,BRA
76,2020,2020-2025,2023,1,Male,35-39,35,5,0.00311329,0.01545005,0.98454996,94019,1453,466579,0.98287465,3896073,41.439,2.579733,Brazil,BRA
76,2020,2020-2025,2023,1,Male,40-44,40,5,0.00386228,0.01913436,0.98086564,92566,1771,458589,0.97755891,3429495,37.049,2.604437,Brazil,BRA
76,2020,2020-2025,2023,1,Male,45-49,45,5,0.005342,0.0263759,0.9736241,90795,2395,448297,0.96857976,2970906,32.721,2.628926,Brazil,BRA
76,2020,2020-2025,2023,1,Male,50-54,50,5,0.00756492,0.03715799,0.96284201,88400,3285,434212,0.95591661,2522609,28.536,2.628501,Brazil,BRA
76,2020,2020-2025,2023,1,Male,55-59,55,5,0.01067659,0.05206491,0.94793509,85116,4432,415070,0.93726617,2088397,24.536,2.628929,Brazil,BRA
76,2020,2020-2025,2023,1,Male,60-64,60,5,0.01562927,0.07535909,0.92464091,80684,6080,389031,0.90740481,1673327,20.739,2.633534,Brazil,BRA
76,2020,2020-2025,2023,1,Male,65-69,65,5,0.0236961,0.11212487,0.88787513,74604,8365,353009,0.86862538,1284295,17.215,2.607893,Brazil,BRA
